,country,show_id
1066,United States,60022502
1067,Mexico,80244683
1068,Germany,80028357
1069,India,81217739
1070,Italy,60031884
1071,United States,70117289
1072,United States,28631236
1073,United States,70121502
1074,United States,70215455
1075,United States,506464
1076,United States,60003508
1077,United States,70105132
1078,United States,60004083
1079,United Kingdom,70087538
1080,United States,1181661
1081,United States,60011552
1082,France,80222157
1083,United States,70044693
1084,United States,70173046
1085,United States,70039187
1086,United States,70044686
1087,United States,80989043
1088,Indonesia,81021831
1089,Indonesia,81021832
1090,United States,80201866
1091,United States,80239932
1092,United States,81215856
1093,United States,81214223
1094,United States,80045925
1095,United States,80027560
1096,United States,70135899
1097,United States,81215437
1098,United States,81215438
1099,United States,81214187
1100,United States,80160987
1101,United States,81215439
1102,United States,70178618
1103,United States,70292700
1104,United States,81214214
1105,Brazil,81020531
1106,United States,80191051
1107,United States,80242446
1108,Thailand,80241877
1109,France,80085566
1110,United States,80124722
1111,United Kingdom,70243696
1112,United Kingdom,70243692
1113,United States,81073633
1114,Argentina,81105522
1115,United States,70230138
1116,United States,70083532
1117,South Korea,80177865
1118,United States,80117534
1119,France,80115031
1120,Colombia,80120640
1121,United Kingdom,80029708
1122,United States,80079470
1123,United States,70127998
1124,Taiwan,81191473
1125,China,81019520
1126,United States,80160504
1127,United States,80158168
1128,United States,80160759
1129,Canada,80209608
1130,India,80182622
1131,United States,80175694
1132,United States,80016471
1133,United States,80171561
1134,United Kingdom,80123729
1135,United States,70189289
1136,Finland,81132624
1137,United States,80013267
1138,United Kingdom,80046819
1139,United States,70293315
1140,United States,80177400
1141,United States,80191036
1142,United Arab Emirates,81037898
1143,Mexico,80997085
1144,France,81004099
1145,United States,80200267
1146,United States,80242926
1147,Brazil,80216621
1148,United States,70113538
1149,Taiwan,81179844
1150,United States,80244457
1151,Colombia,81196441
1152,Argentina,81162089
1153,India,81217737
1154,India,81076114
1155,United States,80217594
1156,South Korea,81033650
1157,Japan,80093820
1158,Spain,80183187
1159,Taiwan,81179882
1160,United States,70124331
1161,Taiwan,81179821
1162,South Korea,81033645
1163,India,81217749
1164,United States,80158800
1165,Mexico,80238391
1166,Japan,70291121
1167,Thailand,80242491
1168,India,81035105
1169,Canada,80224054
1170,India,81038832
1171,India,81035109
1172,Indonesia,81030893
1173,India,81035103
1174,India,81035104
1175,Australia,80075824
1176,India,81035108
1177,India,81035107
1178,United States,81028556
1179,Australia,81028574
1180,Australia,81028560
1181,France,80196044
1182,Spain,80122177
1183,India,80136925
1184,Malaysia,80202454
1185,India,70040076
1186,Japan,80009361
1187,Russia,80166471
1188,United States,80119125
1189,Germany,80117532
1190,India,70260514
1191,United States,80127995
1192,United States,81156627
1193,France,81096745
1194,Thailand,81163776
1195,United States,80191804
1196,United States,80191109
1197,United States,80004534
1198,United States,70213466
1199,Argentina,81034946
1200,Philippines,80222787
1201,Denmark,80193978
1202,United States,80147403
1203,United States,80058424
1204,United States,80049065
1205,United States,81078466
1206,United States,80060034
1207,Canada,80205085
1208,United States,70117297
1209,China,81200229
1210,United States,81152923
1211,United States,81171862
1212,Canada,80131563
1213,Brazil,80107990
1214,United States,80091658
1215,Germany,80208213
1216,United States,70286533
1217,France,80237420
1218,United States,70174733
1219,Japan,80175822
1220,Mexico,80183088
1221,United States,80198018
1222,Brazil,80127990
1223,France,80134093
1224,United States,80134279
1225,United Kingdom,80234414
1226,United States,70044870
1227,United States,26597413
1228,Spain,80245356
1229,United States,81193616
1230,France,81082327
1231,United States,18002692
1232,United States,81024100
1233,United States,60027583
1234,United States,80216003
1235,United States,60002033
1236,United States,70046968
1237,United States,81154982
1238,United States,81063129
1239,United Kingdom,81074542
1240,United States,382650
1241,United States,70044705
1242,United States,449931
1243,India,81189912
1244,Canada,80215046
1245,Hong Kong,60036838
1246,Italy,81179693
1247,United States,485218
1248,United States,1192866
1249,United States,11819434
1250,United States,81050375
1251,United States,516788
1252,United States,70048968
1253,United States,542137
1254,United States,60021796
1255,United States,60031247
1256,United States,60000577
1257,Spain,80241387
1258,United States,81083786
1259,Mexico,80153894
1260,United States,1179333
1261,United States,70118779
1262,United States,653673
1263,United States,70020947
1264,United States,70117305
1265,Mexico,701346
1266,United States,709163
1267,United Kingdom,709380
1268,United States,1150871
1269,United States,70082264
1270,Japan,81104406
1271,United States,1179583
1272,United States,70044595
1273,United States,60011729
1274,United States,70044883
1275,United States,60021590
1276,United States,60023638
1277,United States,81075744
1278,United States,70031792
1279,United States,70100383
1280,United States,60002403
1281,United States,17236920
